Player,Header Count,Percentage
Davinson Sánchez,13,16.67
Jefferson Lerma,8,10.26
Jhon Cordoba,8,10.26
Mateus Uribe,5,6.41
Rafael Santos Borre,5,6.41
Daniel Munoz,5,6.41
Carlos Cuesta,4,5.13
Yerry Mina,4,5.13
Miguel Borja,4,5.13
Luis Diaz,3,3.85
Luis Sinisterra,3,3.85
Radamel Falcao,2,2.56
Roger Martinez,2,2.56
Jhon Lucumi,2,2.56
Richard Rios,1,1.28
Diber Cambindo,1,1.28
Duvan Zapata,1,1.28
Homer Martinez,1,1.28
Yerson Mosquera,1,1.28
Éder Álvarez,1,1.28
Santiago Moreno,1,1.28
Jhon Duran,1,1.28
Jhon Arias,1,1.28
Cristian Arango,1,1.28
